Class Label,Data 1,Data 2
class 1,5.834383956,3.717768377
class 2,3.258826576,9.239598787
class 1,4.025947106,-7.194897953
class 2,-9.526891601,-9.765928374
class 1,-4.472811372,-6.31404555
class 2,8.435227155,-4.729505275
class 2,9.144247345,-4.483748037
class 1,6.020426477,3.971822687
class 2,9.565127631,2.465337169
class 1,-4.690732887,-2.841064089
class 2,1.350777401,9.813163023
class 1,-2.760813734,-2.932567193
class 1,-0.995676929,3.762311289
class 2,7.986032268,-6.095430894
class 1,-5.184081566,-3.093644664
class 2,-6.066892349,-9.000113239
class 2,6.323261432,5.881510083
class 1,-1.361117704,-3.38360556
class 2,-5.804180822,-6.549274472
class 2,-6.696500856,-7.986957254
class 2,-6.887393404,8.560816928
class 2,9.072945152,-8.820269698
class 1,-4.195264399,-2.083486034
class 2,-8.361230952,3.660324298
class 1,-5.405127572,-1.453018262
class 1,-3.543724957,3.613623417
class 1,0.31750595,-0.471365869
class 2,-7.761902953,2.127255687
class 1,-5.247447379,-1.993970378
class 1,0.160596584,6.460728113
class 1,-2.068003374,3.482275415
class 1,-2.557801541,1.575612682
class 2,-9.811840541,-4.573964582
class 2,-6.83337612,8.508565355
class 2,4.735220105,-8.016554297
class 1,2.776759759,-0.695803434
class 1,-0.732266016,0.061197925
class 2,6.390719254,-5.844580862
class 1,0.065738375,-5.581694434
class 1,-2.490401271,4.955164236
class 2,4.216070602,-9.16105732
class 1,0.121857247,2.647165553
class 2,-8.631817316,-3.171751584
class 1,-0.506516508,-8.151183989
class 2,-0.677467526,9.967125176
class 2,6.347040614,9.304144877
class 2,-7.544890321,-7.252648918
class 2,0.558707598,-9.775029711
class 2,9.779861074,9.916772579
class 2,0.526189077,-9.38542174
class 2,7.96213522,4.094448971
class 1,1.607326755,-3.159028025
class 1,-4.95704385,3.133504043
class 2,-3.294662535,7.740969785
class 2,9.620748432,-5.411296287
class 1,3.625974814,4.477234715
class 2,-4.680558132,-7.582302799
class 2,9.762954545,-2.025316499
class 2,6.374229663,-7.85670554
class 2,-1.765760773,-8.338811124
class 1,5.651283755,-4.72073263
class 1,0.207415406,-0.22035559
class 2,7.156582038,-5.123946151
class 2,-1.272983589,8.567936153
class 1,4.244411829,-5.699099031
class 1,-5.325101393,5.077796584
class 2,-2.222742538,9.860768214
class 2,0.208135615,-8.464435886
class 1,3.237745323,-7.073103386
class 2,-5.738015004,6.131200848
class 2,8.194757148,-9.623666027
class 2,0.525090349,9.918434647
class 2,6.901799721,-6.633971168
class 1,-1.608719112,-3.973049259
class 1,3.510743384,-3.443970669
class 1,0.004312867,-3.778050677
class 1,1.204926501,2.006784724
class 1,-0.158863449,2.88860528
class 2,-7.183029758,-9.741572343
class 1,-2.911955491,0.576099471
class 2,-5.403419356,-7.415843663
class 1,-6.451015679,1.888518
class 1,-4.568600899,0.550799143
class 1,4.333305928,-1.762421614
class 1,-0.318257721,-6.979516431
class 2,-9.063427528,7.206538234
class 1,0.926058212,0.143919828
class 2,-6.957649688,6.230647197
class 1,1.141667212,-3.113481406
class 2,8.493441743,-7.645170648
class 1,6.046044003,-2.170596124
class 2,-1.073900669,8.976594282
class 1,-2.831672558,3.456801656
class 2,4.303295574,7.90764325
class 2,4.545294315,7.012210039
class 1,-2.143530594,-5.606143729
class 2,-9.828910634,-2.047352202
class 2,-7.920026126,-0.306487173
class 2,9.607051735,8.001258962
class 1,5.647362679,0.194495887
class 2,9.78360279,-7.834669638
class 1,3.412976153,-3.419168215
class 2,9.905496486,4.765012096
class 1,0.687678079,-6.280488185
class 2,-2.763152816,-9.836831949
class 2,-0.328690886,7.753204897
class 1,-5.441664877,1.461959446
class 2,-4.856439489,9.657030368
class 1,-3.936427829,1.32630422
class 1,3.275365161,-2.13670852
class 1,0.044710498,6.786881144
class 2,6.130541277,-6.747842147
class 2,7.404725012,9.076667824
class 2,-2.65369272,-7.511120323
class 1,0.249836556,6.701274304
class 1,0.526514084,6.92991793
class 1,1.624268006,-6.886641211
class 2,-8.966600813,7.830675127
class 2,8.73065385,7.26856837
class 2,8.753795986,1.023608536
class 2,-8.799121542,1.258671989
class 2,-6.752457034,-7.046400852
class 1,-4.534350878,6.015095769
class 2,-7.589772757,3.126229324
class 2,-8.29778675,-1.665230993
class 1,1.643983799,3.639006492
class 1,5.267039062,2.669054524
class 1,0.959399374,4.886699376
class 1,0.681015093,-6.738472157
class 2,-4.702223922,-6.815452544
class 2,4.371827158,-6.78011932
class 1,0.901514731,-3.027567737
class 2,5.030734191,9.783925677
class 2,2.887188621,9.375810985
class 2,-8.578810094,7.836547719
class 2,-8.841606848,3.490717368
class 1,0.330914723,0.172594514
class 2,5.908209443,-8.324961269
class 2,2.512878387,7.650945477
class 2,-7.727970473,3.596407297
class 2,-9.496860937,6.313403059
class 2,7.346787049,-5.973583778
class 1,-4.971901614,3.416921023
class 1,1.575371506,6.144992527
class 1,-2.89984188,-5.688758162
class 1,2.064864125,-4.906927527
class 1,-4.468378819,-2.500304463
class 1,-1.404332767,1.992378379
class 2,7.208282552,-3.410757042
class 1,-1.899589823,3.009420361
class 2,7.617834816,7.867105361
class 1,1.562720136,-1.710587877
class 2,-2.790138831,-7.58363187
class 2,3.774304481,-6.587361834
class 1,5.347102045,-0.591717848
class 2,-7.441919853,-4.978081895
class 2,8.11042212,8.382242472
class 2,-9.828409215,5.665642503
class 1,0.456821735,-0.796547448
class 2,-7.97730018,3.517810159
class 2,7.302839512,-8.622555233
class 1,-1.853352361,1.440273772
class 1,-4.197495149,4.989071504
class 1,-1.115233848,-6.184588105
class 2,6.842848175,8.717604036
class 1,5.491407897,-0.105026689
class 2,-7.630905065,-8.662064554
class 1,-2.152108006,-4.582254942
class 1,-4.090085139,-0.13126709
class 2,7.824849535,6.851903149
class 2,0.948917146,8.520237451
class 1,7.001386776,-1.490502227
class 1,-0.788602161,-7.309097649
class 2,-7.707818603,-5.65553538
class 1,1.148730949,2.631711064
class 2,0.132627011,-9.302565987
class 2,8.662827132,-8.158039203
class 1,4.690334901,4.512258384
class 2,9.335035225,1.797446379
class 2,9.587615863,8.892994316
class 2,8.559938558,-9.901711535
class 1,3.984659176,0.553706803
class 2,-9.969665404,1.30971127
class 1,4.756682281,6.158455154
class 2,-6.284247693,-6.914945725
class 2,6.196038974,-6.999949398
class 1,0.062606735,-5.765687919
class 2,3.4929021,-8.903823066
class 2,-3.010167053,8.747748357
class 2,-8.909484761,-8.703007777
class 2,9.654564311,4.155446324
class 1,0.412668861,7.01491607
class 1,-2.041366543,5.13797376
class 1,-0.190187208,-3.873211517
class 1,-2.66413843,-4.741290887
class 2,8.457443374,0.500900696
class 1,-0.750463686,3.915178502
class 2,2.184394768,9.242057356
class 2,8.578500735,-8.096905912
class 2,-4.220124274,9.63072043
class 1,0.765668103,-6.83571478
class 2,-6.656525618,8.632208796
class 2,-9.964030549,3.189931058
class 1,-1.345367028,6.425980142
class 2,9.673711694,-3.118304866
class 2,8.266775324,-6.264036234
class 2,3.35553456,8.316135386
class 1,6.399123657,2.305645276
class 2,-9.02059625,-1.962242886
class 1,0.163849173,4.344439058
class 2,9.07352624,2.187166964
class 1,5.546718218,-1.789301891
class 2,-6.563619743,5.305435792
class 2,-6.289202068,-9.191700003
class 2,-8.485016442,9.005034762
class 2,9.39788582,-2.869510741
class 1,6.10743089,-4.779503299
class 2,-0.393838131,8.472223638
class 1,0.4650752,1.126855205
class 2,9.053301546,1.019479784
class 1,-0.907653024,0.717593076
class 2,9.066987846,9.140816319
class 2,-8.651351455,3.736236766
class 2,-8.916703888,-6.891400578
class 2,1.855577177,8.522853911
class 2,7.432567734,-3.909133339
class 1,-3.55659203,-3.940518499
class 2,-2.785326911,-9.109336802
class 1,-0.390598309,5.824374576
class 1,-3.472424571,2.942211954
class 2,1.381179551,9.585463775
class 1,-3.296458653,-6.5318401
class 2,-3.309060302,-8.277631887
class 1,-3.737877764,-6.338919022
class 2,-8.008320117,-7.018656192
class 1,3.264884442,-6.706955697
class 1,1.589068918,-3.100726654
class 1,-4.735738225,-5.244878366
class 1,2.056230684,-2.581473691
class 2,-5.45126699,6.74567248
class 2,6.365385896,-5.556253401
class 2,-6.650879704,-6.013320963
class 2,-0.916588399,-9.119172477
class 1,6.865958461,0.608460722
class 1,-1.497719143,6.799463636
class 2,-5.336798912,-7.848340174
class 2,9.610770155,-8.999774701
class 1,-4.503772896,2.76642865
class 2,-8.480095045,-7.917970121
class 1,-2.123883012,4.636260523
class 2,4.217004736,9.164817637
class 1,-2.521413707,2.285310865
class 1,-0.846078102,-6.421882956
class 2,7.255108501,5.804699739
class 1,-1.516827447,7.663329591
class 2,7.83802394,-0.72333759
class 2,-4.045992216,9.978927496
class 1,-1.379361411,-6.344752827
class 1,0.376813742,1.845776014
class 1,3.306523611,-3.95864909
class 2,-7.393445753,4.51394128
class 1,5.869631845,3.306030149
class 2,-9.870386474,-6.30167396
class 1,3.049759182,-6.552209249
class 1,5.970489345,2.988872702
class 2,-8.132178186,-0.370334528
class 2,-5.337470801,8.631259577
class 1,2.059200403,-6.563319545
class 2,-8.540544217,-9.529368734
class 1,3.516679675,2.507108584
class 2,9.384892555,-9.685724712
class 1,5.104352362,2.773397163
class 2,6.484893101,8.10135138
class 1,0.190471143,5.419490036
class 2,5.442911634,-7.807821235
class 1,5.282813381,-1.212362119
class 1,-2.519285427,-5.810166328
class 2,-8.253922064,-6.868073407
class 2,8.490221027,-1.457320682
class 1,-3.24276863,0.394372647
class 1,1.398770271,-1.618497034
class 1,5.216371662,3.464967416
class 2,8.803325461,-3.490944409
class 1,-2.265975369,4.68528887
class 2,-5.952952653,-6.785736313
class 2,-0.460920784,9.826099906
class 1,-3.613851755,-0.230686239
class 1,-6.318857615,-1.713138719
class 2,9.824738184,-0.142757623
class 1,5.843299388,5.164392906
class 1,-3.060190572,-2.605706003
class 2,9.450897378,1.37127885
class 1,-2.476202881,-1.505770034
class 2,4.046768179,8.347887076
class 2,-9.996624286,-1.748885761
class 1,2.649737856,-4.001137389
class 1,0.419478328,-7.022630129
class 2,7.33114223,-8.436362247
class 1,5.735842366,-5.127913254
class 2,8.703659699,-7.097167232
class 2,-9.822472611,-1.014458748
class 1,-1.578316101,-3.929725953
class 1,1.028860553,7.532416247
class 2,8.838377019,-1.489259623
class 2,8.779339881,-4.510349804
class 2,-9.124235212,-7.924729572
class 2,-5.562906599,-6.732507904
class 1,4.69199129,5.276770093
class 1,-1.237347956,-5.715436542
class 1,2.825323304,1.804391544
class 2,6.50154082,-5.594349003
class 2,-6.881377718,-7.459188217
class 2,9.084595765,6.27250699
class 2,-0.220061981,9.531164779
class 2,-8.664292578,3.034034724
class 1,2.942434619,7.791285242
class 2,-1.385837833,-9.765127489
class 2,0.013297412,-7.592739242
class 2,-8.081759042,3.978801891
class 1,3.412036041,-5.695145277
class 1,3.802806492,-7.049865021
class 2,-7.86850945,-7.065210678
class 2,8.844278682,-4.709140548
class 1,2.4245016,5.230416039
class 1,-2.749569686,4.175347841
class 2,-7.819319549,-9.104607315
class 1,-3.776006702,2.554872573
class 1,-6.306050128,-3.184542134
class 2,-9.870020371,5.470892759
class 1,-0.402602215,-6.965328524
class 2,-7.631402569,7.852071571
class 1,-0.233702868,7.22039865
class 1,-5.412625893,-3.179918217
class 2,1.514683448,8.611332598
class 2,-8.625674876,-6.562879273
class 2,-0.180784759,-9.846868134
class 2,7.794337046,3.562609177
class 1,-5.521747834,3.033077938
class 1,-5.891209081,-5.217035527
class 2,5.979810019,-6.599030551
class 2,-5.406860674,-8.969666373
class 1,0.969936372,3.678848031
class 2,5.373037924,7.560584021
class 1,-1.650140084,3.775860246
class 1,2.23685881,7.750212245
class 2,-3.984714012,-6.994048503
class 1,-0.870890521,6.52369852
class 2,-9.53250079,-4.547454815
class 1,-2.717233193,-6.202687003
class 1,-7.307623587,-3.667002405
class 1,7.59399031,-0.025467498
class 2,-9.017732177,-3.671626409
class 1,-2.383499265,-3.06122693
class 1,1.294027815,-1.782919389
class 2,-9.857432005,-0.561537901
class 1,1.340342699,-1.838363417
class 2,-7.200312507,-7.697058176
class 2,4.126175483,-9.335277657
class 2,-1.591133529,-9.540515416
class 2,-8.117348682,6.889265531
class 1,6.871827548,-2.879679087
class 2,4.558606285,8.91709806
class 2,6.75229617,-5.98035051
class 1,-6.738445591,4.501710811
class 1,-3.919686579,-3.286399265
class 1,4.920581649,-2.270860432
class 2,8.064061142,7.151620308
class 2,-7.073801001,5.347844735
class 1,-0.9967,1.847530993
class 2,-9.702801302,-1.700345084
class 2,-4.142227411,7.932249548
class 1,-1.916310919,-0.982767672
class 2,-0.99913446,8.328256703
class 2,-4.683934971,8.593662307
class 2,-9.855795123,5.791493543
class 1,3.127955772,-1.968010102
class 1,-2.314971131,1.219656873
class 2,-7.325650319,8.003485124
class 1,6.786417814,2.674968329
class 1,0.786933005,1.692592188
class 1,-3.839094879,-5.359514859
class 2,9.119351771,1.540177653
class 2,-7.73293809,5.140117549
class 1,-1.860541826,-6.32961656
class 2,8.418296847,1.082917077
class 1,-5.2660265,2.70802929
class 2,9.233598414,-7.388142782
class 2,2.105974373,-8.932196722
class 2,8.567328498,2.412203965
class 1,-5.608526684,-4.404371187
class 1,4.633953674,1.047209581
class 2,5.749989724,-8.565976288
class 2,9.260292185,3.810913156
class 1,2.303143513,-3.236989733
class 2,9.682099311,-5.267020422
class 2,-4.491971071,9.645048603
class 2,-8.398943009,8.550845537
class 1,5.054961735,3.134301391
class 2,-6.769104928,-6.064901439
class 1,-5.128925682,2.978311886
class 1,7.842827713,-0.531379911
class 1,4.155869171,5.089812825
class 2,-3.178115041,-9.599170134
class 1,-3.154054674,6.831717069
class 1,-3.154081353,0.319133339
class 1,-1.720269272,6.058136705
class 2,-6.93368455,5.312141181
class 1,3.998968733,-5.415128705
class 2,-9.853662085,3.556480984
class 1,-6.692939355,1.622117572
class 2,-1.951731358,-9.126432917
class 2,2.344471161,-8.736714849
class 2,-9.009488473,-8.20520766
class 1,2.19364377,2.202595647
class 2,-9.212494752,-4.871343024
class 1,-6.399339825,1.494792989
class 1,-0.622588951,5.647234339
class 2,6.365100325,6.493281945
class 1,0.60447926,-1.241196044
class 1,-2.999677833,1.826270499
class 1,1.648197382,-6.095753502
class 2,-7.882594672,-4.530888429
class 1,5.405229073,-4.89406741
class 1,1.21634111,4.211291251
class 2,-8.701297858,-7.812794247
class 2,-9.370331574,9.708260776
class 2,-9.077090497,-9.429009842
class 1,-6.954581843,3.394261805
class 2,-5.542127307,-7.955682623
class 2,-1.056460763,9.755549231
class 2,-9.735765337,-2.069984624
class 2,7.897921246,1.307114593
class 2,-7.404270859,9.819311165
class 2,7.076914259,-7.290635917
class 2,9.371468009,-1.546556097
class 2,-9.948131144,-8.468816116
class 1,1.930740479,4.611085136
class 2,-9.440220151,7.320082092
class 1,2.580215507,-6.587733338
class 2,-8.769147296,-3.51281686
class 1,7.297610803,1.555474017
class 1,2.01246024,-6.777914048
class 1,4.453519532,2.48828288
class 1,-5.338668497,-0.195411425
class 2,3.636282229,9.762844794
class 2,2.245137298,9.485790986
class 2,4.098681886,8.318813025
class 2,-6.255474727,6.878601243
class 1,2.374933384,-5.226525939
class 1,2.805380851,-7.198965376
class 1,7.050384606,3.672403451
class 1,-1.703307334,1.549785784
class 2,9.665000747,2.881199443
class 2,7.465763635,-1.94847865
class 1,-7.706278155,-0.183506043
class 1,4.041213362,2.724938042
class 2,6.792799554,-7.422957683
class 1,-7.800600122,3.091278462
class 2,5.937381067,9.210709439
class 2,-4.923737347,-8.732974376
class 2,-9.502371956,9.998225282
class 1,3.422615231,-1.423851494
class 1,-0.204213632,6.798292353
class 2,7.854536879,-6.537130256
class 1,4.424718843,4.373461025
class 1,0.828823619,8.107736584
class 2,-8.208643819,-0.243712465
class 2,6.94871297,6.311528731
class 1,-3.204726396,4.27226512
class 2,-5.631110906,6.0982343
class 2,-6.631337243,-8.918482383
class 2,-7.243015713,7.80350122
class 1,0.088941756,-6.705005145
class 1,3.884094488,-6.207449102
class 1,3.875818508,-2.381830027
class 2,3.969282396,7.973690952
class 1,2.181465233,-1.758042527
class 1,6.068612838,0.99990558
class 2,7.602662541,-8.950629857
class 2,-9.996714269,8.294898785
class 2,9.790978751,2.656911238
class 2,6.409452034,-4.886412536
class 1,3.522550907,-5.700193864
class 1,-4.868583094,-4.103607879
class 2,-7.787683091,-5.296538919
class 2,-7.393349346,6.769465383
class 2,8.611584706,8.532660819
class 1,1.231156378,2.323248327
class 2,-3.840677577,-9.637539744
class 2,-6.427659602,5.914996765
class 1,-6.042716194,0.996106501
class 1,-5.106813784,4.378539142
class 1,-2.622516078,-6.554774481
class 2,-8.484386704,-9.258195044
class 1,-4.254082393,2.365577046
class 2,8.363903125,-4.251509557
class 2,-6.605218523,-9.048644336
class 1,-4.030235202,-1.818322779
class 2,-5.456196225,-9.97796499
class 1,5.635043432,2.930275761
class 2,1.072699931,8.370114253
class 1,4.0219538,2.172619499
class 2,8.575613324,-8.331453773
class 1,6.98102293,-1.975166777
class 2,9.251713087,1.068406777
class 2,-3.705520372,7.951258866
class 2,9.622105008,0.164474143
class 2,6.327637131,7.565463214
class 1,-3.587909715,-1.046681255
class 2,-7.931652688,-5.998440482
class 2,-9.131473238,4.852603419
class 1,-4.706952156,-5.268489319
class 2,-5.980957755,8.004125232
class 2,4.129458433,7.672690457
class 2,-8.442355761,4.086946207
class 1,-7.614099571,0.765402026
class 2,7.405870201,9.201236231
class 2,-6.309185226,-9.352878718
class 1,3.568637194,-6.362180826
class 2,-8.057175192,2.611616277
class 2,-7.734535632,-6.759372525
class 2,7.713788993,4.13852473
class 2,7.835216014,3.113950984
class 1,5.696754588,4.82042392
class 2,-0.940793257,9.054526225
class 1,-6.790227257,-4.853844558
class 1,5.996098326,-0.138934132
class 1,2.004507397,5.675093143
class 1,3.105213149,1.735553799
class 1,2.327931485,-5.869202719
class 1,7.640570139,-3.245685175
class 2,-7.443338644,-3.869239567
class 2,9.597124157,-4.510583767
class 2,6.725947768,-5.424202465
class 2,-9.720873192,3.879025958
class 1,6.388080376,2.70391684
class 2,9.003194088,8.9614389
class 2,4.930230115,9.543565365
class 1,1.532951292,-0.777348552
class 1,-3.059586226,1.990738364
class 1,-7.210095723,2.428859723
class 2,9.212103126,5.858369898
class 1,-0.61101368,4.021807393
class 2,6.540388538,7.443897527
class 1,-6.504488444,-0.404683459
class 1,5.154730617,-1.226989646
class 1,-3.395526581,6.335333288
class 2,4.306508479,-8.690953221
class 1,6.37337195,-1.210470822
class 2,7.897458299,6.773953695
class 1,4.617102495,-5.240397548
class 2,8.36872053,6.596656166
class 1,0.576215223,-1.772829012
class 2,5.027285532,-8.505167533
class 1,2.548936633,-0.869454
class 2,9.585432196,-9.497828742
class 1,-1.676098427,-2.341154611
class 2,-5.810856158,-7.755778431
class 1,0.278627553,5.443906313
class 2,6.930288866,8.54741596
class 2,9.954316767,0.293436546
class 1,4.497034772,-3.158258659
class 1,3.913140264,5.834828176
class 1,3.13754185,4.86177746
class 2,6.46750478,-9.704870965
class 1,4.71471426,-5.33923617
class 2,-8.287098668,-6.291718539
class 2,-6.611295963,9.692437697
class 1,5.895870121,3.386057569
class 1,2.68252919,-3.849763966
class 2,-8.503287191,3.207355496
class 1,-1.316217151,2.120411369
class 2,4.645761704,7.685762919
class 2,-8.608722853,-7.965454591
class 2,-8.482198741,1.393562688
class 2,-8.02395734,2.75550075
class 2,-7.596541694,-7.808000511
class 2,-6.457214276,8.045632293
class 1,5.582023897,6.123936907
class 2,1.641536873,-7.661996197
class 1,-1.06295328,5.430702502
class 2,-5.055736534,8.638031963
class 2,4.341828093,-7.567565812
class 2,5.089330808,9.104866377
class 2,-6.928986943,-9.075497141
class 2,-9.129752537,-4.961717375
class 1,-6.323550328,1.3128598
class 2,7.621180821,-4.305337556
class 2,-6.519253624,-9.738615406
class 2,-7.598143093,-8.59868612
class 1,3.365457411,-0.315810159
class 1,4.859913265,1.946683134
class 1,4.910998258,-1.193624339
class 1,7.572300934,2.468185119
class 2,-6.720691766,-7.652379708
class 2,-9.272797357,9.179545595
class 1,-6.286172851,-4.895207963
class 2,8.552527289,6.793027572
class 2,-5.379772674,8.12643471
class 2,6.963528707,9.016486879
class 1,-4.599745234,-3.656005606
class 2,2.708616252,-8.887973146
class 1,3.556872001,2.433488408
class 1,1.91694402,4.663816312
class 1,6.093394615,2.959106397
class 1,-4.793678641,5.333721033
class 2,5.588552812,-6.583286518
class 2,-7.452503752,-8.783700225
class 1,4.430105001,-5.785613688
class 2,7.751298405,-6.666441923
class 1,2.958169655,-2.756133903
class 2,9.044927528,8.54407858
class 1,6.672791284,0.665622942
class 1,-6.769958588,0.561658839
class 2,8.817699983,-5.596717881
class 1,-4.365934982,-4.996335838
class 1,3.855183725,3.685232936
class 1,3.164357545,-2.723451017
class 2,9.258051099,4.491060336
class 1,-4.359830115,-0.926928626
class 2,-8.301234557,2.915319152
class 1,-0.745380686,0.167474048
class 1,-6.08370764,3.155275185
class 1,-5.509329073,4.353884268
class 2,9.562564377,2.247046078
class 2,5.928019079,8.283790381
class 1,-1.142064287,-6.750512987
class 1,-6.744657524,1.137511875
class 1,-2.509127682,-1.715410837
class 1,-2.543439189,7.057136695
class 1,-2.549746342,2.324537758
class 2,1.609002534,-9.491482421
class 1,-2.796444583,3.408412048
class 1,-1.361398709,7.042950357
class 1,2.366371575,-2.306620973
class 2,8.041495013,1.280619027
class 2,8.707605885,3.938252145
class 1,-6.004992651,-5.124647205
class 2,2.368352885,8.840199803
class 2,-8.724036241,-9.974214786
class 2,-0.259304321,-9.932006118
class 2,-6.407074265,-5.758447702
class 1,-5.613476838,-4.230760698
class 2,-7.975790316,1.556117192
class 2,-2.472304413,-9.287896657
class 1,0.795909863,-6.965610389
class 2,-4.904934116,-7.143877718
class 1,1.577571465,-0.913200994
class 1,1.454576806,-1.064517708
class 1,-0.828275837,-2.768603635
class 1,4.971845875,-1.917353385
class 2,0.544595355,8.254335935
class 1,1.833898544,0.747412298
class 1,3.372375896,-3.438771174
class 1,1.047104323,0.05640597
class 1,-3.93524889,5.017591541
class 1,-2.121204026,7.05869678
class 1,-2.579887007,-7.133198999
class 1,-3.100539751,-5.062550555
class 2,4.624748802,6.96619446
class 2,-1.004165263,-9.715753844
class 1,7.371463505,1.430799968
class 2,-9.882789127,9.315819119
class 1,1.36579399,-4.097631059
class 2,-9.621440341,5.498889012
class 2,-9.724404272,8.703774748
class 1,1.636822474,6.434505986
class 1,-1.588300058,4.966524536
class 2,-9.810875329,3.142776383
class 2,-9.883585999,5.285004946
class 2,2.926050194,-9.914425464
class 2,-8.80906581,-9.304575727
class 2,9.953850114,-8.85406764
class 1,-6.015249232,-2.233707019
class 1,5.167292971,-1.272074824
class 2,7.348318037,-5.395468504
class 1,-3.124949684,2.660646226
class 1,-4.402991097,3.00006129
class 1,3.948632436,-4.492569282
class 1,-3.670629255,4.927663978
class 1,5.923095199,0.714954022
class 1,6.172742524,-0.757152712
class 1,2.406563292,-4.533968142
class 1,-2.041367128,-2.104327854
class 2,6.835261477,4.75683343
class 2,6.990153315,9.385234169
class 1,-2.707347052,7.111429984
class 2,2.055936558,-8.350719862
class 2,9.640395765,-5.619138953
class 1,-0.625477445,1.420098676
class 2,9.91963803,-9.628236735
class 2,6.416440757,6.529894691
class 2,-2.056638638,8.237202105
class 1,2.001755077,6.655396711
class 1,-0.189365523,-7.696218653
class 1,-5.405799728,-5.163199117
class 2,5.728573126,-7.750723196
class 1,-5.319774799,-2.32727296
class 1,-1.191391321,-4.887920823
class 1,-0.500657421,-4.638299971
class 2,9.932213821,0.392015356
class 1,1.631184129,2.596289288
class 2,1.053642349,-8.928570893
class 2,-8.775117958,1.264173691
class 2,-6.716667136,-5.260016509
class 2,4.182962725,-8.405491307
class 1,-1.219752526,-3.490324331
class 2,8.592285422,-0.352588373
class 2,-7.505743021,8.975160611
class 2,-7.837504515,7.993271441
class 2,-4.337910213,-7.749226137
class 1,-0.925203044,6.817613799
class 2,-4.256235358,-9.02068567
class 1,5.800265349,0.219557534
class 2,-4.028517635,-7.640671205
class 1,-6.567076588,3.484898649
class 1,-1.794537958,3.898413338
class 2,-0.156898443,-9.10480694
class 2,-8.520179707,7.720836093
class 1,-1.892187616,-1.351265253
class 2,-9.461099865,1.765625381
class 2,-8.672704045,0.329845424
class 1,6.967376198,-2.061688138
class 1,3.523367128,-1.060185922
class 1,6.116053694,-2.018427531
class 2,-8.183503447,7.042965366
class 1,-4.243113943,-6.242166468
class 1,-3.233618074,-7.200605686
class 1,-1.416395147,-4.01250215
class 2,-2.41529124,-9.025032897
class 1,0.267746403,1.296644183
class 2,6.618061755,9.573994169
class 1,-4.465249826,2.985574811
class 1,-2.681580088,-0.056976723
class 1,-1.844734691,0.357602947
class 2,-3.487242248,8.091642467
class 1,-4.031368009,3.564959456
class 1,-3.836522115,2.150604558
class 2,-7.286706916,6.756723768
class 1,2.655356217,-6.688359926
class 2,5.613276235,-7.205936434
class 1,-3.242594489,-1.335957348
class 2,-3.315552173,-9.598038361
class 1,-7.822351673,-0.416827296
class 1,-0.130138854,6.331376105
class 1,-3.686908692,-1.36275134
class 1,-0.094171296,7.451226645
class 1,-1.635411509,-3.291971434
class 1,5.701520342,0.118681009
class 1,5.752307599,3.575836748
class 1,-0.019235327,2.829193056
class 2,2.304024852,9.602185534
class 2,1.444591022,-9.671559484
class 1,-5.04558789,5.097724566
class 2,-4.052416412,-7.01039271
class 2,7.077052013,6.460893031
class 1,-6.145799565,-4.288614212
class 1,-0.670155091,7.008977958
class 2,8.408458542,-6.806297741
class 2,6.646744679,-9.310609888
